PROVIDER;DESCRIPTION;CONTEXT;NAMESPACE;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_NAME;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_CATEGORY;REQUIREMENTS_ATTRIBUTES_OBJETIVE_ID;REQUIREMENTS_ATTRIBUTES_OBJETIVE_NAME;REQUIREMENTS_ATTRIBUTES_CHECK_SUMMARY;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME
kubernetes;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;context: kind-meridian-security;namespace: kube-system;2026-06-05 00:25:49.084544;A.5.1;Policies for information security;Information security policy and topic-specific policies should be defined, approved by management, published, communicated to and acknowledged by relevant personnel and relevant interested parties, and reviewed at planned intervals and if significant changes occur.;A.5 Organizational controls;A.5.1;Policies for information security;Information security policy and topic-specific policies should be defined, approved by management, published, communicated to and acknowledged by relevant personnel and relevant interested parties, and reviewed at planned intervals and if significant changes occur.;PASS;API Server does not have anonymous-auth enabled in pod kube-apiserver-meridian-security-control-plane.;3d283d6a-9060-4e19-9088-1e56a7f0c8c5;apiserver_anonymous_requests;False;kube-apiserver-meridian-security-control-plane;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
kubernetes;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;context: kind-meridian-security;namespace: kube-system;2026-06-05 00:25:49.084544;A.5.15;Access Control;Rules to control physical and logical access to information and other associated assets should be established;A.5 Organizational controls;A.5.15;Access Control;Rules to control physical and logical access to information and other associated assets should be established;PASS;API Server does not have anonymous-auth enabled in pod kube-apiserver-meridian-security-control-plane.;3d283d6a-9060-4e19-9088-1e56a7f0c8c5;apiserver_anonymous_requests;False;kube-apiserver-meridian-security-control-plane;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
kubernetes;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;context: kind-meridian-security;namespace: kube-system;2026-06-05 00:25:49.084544;A.5.18;Access Rights;Access rights to information and other associated assets should be provisioned, reviewed, modified and removed in accordance with the organisation’s topic-specific policy on and rules for access control.;A.5 Organizational controls;A.5.18;Access Rights;Access rights to information and other associated assets should be provisioned, reviewed, modified and removed in accordance with the organisation’s topic-specific policy on and rules for access control.;PASS;API Server does not have anonymous-auth enabled in pod kube-apiserver-meridian-security-control-plane.;3d283d6a-9060-4e19-9088-1e56a7f0c8c5;apiserver_anonymous_requests;False;kube-apiserver-meridian-security-control-plane;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
kubernetes;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;context: kind-meridian-security;namespace: kube-system;2026-06-05 00:25:49.084544;A.8.2;Privileged Access Rights;The allocation and use of privileged access rights should be restricted and managed.;A.8 Technological controls;A.8.2;Privileged Access Rights;The allocation and use of privileged access rights should be restricted and managed.;PASS;API Server does not have anonymous-auth enabled in pod kube-apiserver-meridian-security-control-plane.;3d283d6a-9060-4e19-9088-1e56a7f0c8c5;apiserver_anonymous_requests;False;kube-apiserver-meridian-security-control-plane;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
kubernetes;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;context: kind-meridian-security;namespace: kube-system;2026-06-05 00:25:49.084544;A.8.12;Data Leakage Prevention;Data leakage prevention measures should be applied to systems, networks and any other devices that process, store or transmit sensitive information.;A.8 Technological controls;A.8.12;Data Leakage Prevention;Data leakage prevention measures should be applied to systems, networks and any other devices that process, store or transmit sensitive information.;PASS;API Server does not have anonymous-auth enabled in pod kube-apiserver-meridian-security-control-plane.;3d283d6a-9060-4e19-9088-1e56a7f0c8c5;apiserver_anonymous_requests;False;kube-apiserver-meridian-security-control-plane;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
kubernetes;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;context: kind-meridian-security;namespace: kube-system;2026-06-05 00:25:49.084544;A.8.20;Network Security;Networks and network devices should be secured, managed and controlled to protect information in systems and applications.;A.8 Technological controls;A.8.20;Network Security;Networks and network devices should be secured, managed and controlled to protect information in systems and applications.;PASS;API Server does not have anonymous-auth enabled in pod kube-apiserver-meridian-security-control-plane.;3d283d6a-9060-4e19-9088-1e56a7f0c8c5;apiserver_anonymous_requests;False;kube-apiserver-meridian-security-control-plane;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
kubernetes;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;context: kind-meridian-security;namespace: kube-system;2026-06-05 00:25:49.084544;A.8.21;Security of Network Services;Security mechanisms, service levels and service requirements of network services should be identified, implemented and monitored.;A.8 Technological controls;A.8.21;Security of Network Services;Security mechanisms, service levels and service requirements of network services should be identified, implemented and monitored.;PASS;API Server does not have anonymous-auth enabled in pod kube-apiserver-meridian-security-control-plane.;3d283d6a-9060-4e19-9088-1e56a7f0c8c5;apiserver_anonymous_requests;False;kube-apiserver-meridian-security-control-plane;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
kubernetes;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;context: kind-meridian-security;namespace: kube-system;2026-06-05 00:25:49.084544;A.8.22;Segregation of Networks;Security mechanisms, service levels and service requirements of network services should be identified, implemented and monitored.;A.8 Technological controls;A.8.22;Segregation of Networks;Security mechanisms, service levels and service requirements of network services should be identified, implemented and monitored.;PASS;API Server does not have anonymous-auth enabled in pod kube-apiserver-meridian-security-control-plane.;3d283d6a-9060-4e19-9088-1e56a7f0c8c5;apiserver_anonymous_requests;False;kube-apiserver-meridian-security-control-plane;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
kubernetes;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;context: kind-meridian-security;namespace: kube-system;2026-06-05 00:25:49.084544;A.8.10;Information Deletion;Information stored in information systems, devices or in any other storage media should be deleted when no longer required.;A.8 Technological controls;A.8.10;Information Deletion;Information stored in information systems, devices or in any other storage media should be deleted when no longer required.;FAIL;Audit log max age is not set to 30 or as appropriate in pod kube-apiserver-meridian-security-control-plane.;3d283d6a-9060-4e19-9088-1e56a7f0c8c5;apiserver_audit_log_maxage_set;False;kube-apiserver-meridian-security-control-plane;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
kubernetes;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;context: kind-meridian-security;namespace: kube-system;2026-06-05 00:25:49.084544;A.8.13;Information Backup;Backup copies of information, software and systems should be maintained and regularly tested in accordance with the agreed topic-specific policy on backup.;A.8 Technological controls;A.8.13;Information Backup;Backup copies of information, software and systems should be maintained and regularly tested in accordance with the agreed topic-specific policy on backup.;FAIL;Audit log max age is not set to 30 or as appropriate in pod kube-apiserver-meridian-security-control-plane.;3d283d6a-9060-4e19-9088-1e56a7f0c8c5;apiserver_audit_log_maxage_set;False;kube-apiserver-meridian-security-control-plane;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
