PROVIDER;DESCRIPTION;CONTEXT;NAMESPACE;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_SUBSECTION;REQUIREMENTS_ATTRIBUTES_PROFILE;REQUIREMENTS_ATTRIBUTES_ASSESSMENTSTATUS;REQUIREMENTS_ATTRIBUTES_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_RATIONALESTATEMENT;REQUIREMENTS_ATTRIBUTES_IMPACTSTATEMENT;REQUIREMENTS_ATTRIBUTES_REMEDIATIONPROCEDURE;REQUIREMENTS_ATTRIBUTES_AUDITPROCEDURE;REQUIREMENTS_ATTRIBUTES_ADDITIONALINFORMATION;REQUIREMENTS_ATTRIBUTES_REFERENCES;REQUIREMENTS_ATTRIBUTES_DEFAULTVALUE;STATUS;STATUSEXTENDED;RESOURCEID;RESOURCENAME;CHECKID;MUTED;FRAMEWORK;NAME
kubernetes;This CIS Kubernetes Benchmark provides prescriptive guidance for establishing a secure configuration posture for Kubernetes v1.28 - v1.31;context: kind-meridian-security;namespace: kube-system;2026-06-05 00:26:21.068559;1.2.11;Ensure that the admission control plugin AlwaysPullImages is set;1 Control Plane Components;1.2 API Server;Level 1;Manual;Always pull images.;Setting admission control policy to `AlwaysPullImages` forces every new pod to pull the required images every time. In a multi-tenant cluster users can be assured that their private images can only be used by those who have the credentials to pull them. Without this admission control policy, once an image has been pulled to a node, any pod from any user can use it simply by knowing the image’s name, without any authorization check against the image ownership. When this plug-in is enabled, images are always pulled prior to starting containers, which means valid credentials are required.;Credentials would be required to pull the private images every time. Also, in trusted environments, this might increases load on network, registry, and decreases speed.  This setting could impact offline or isolated clusters, which have images preloaded and do not have access to a registry to pull in-use images. This setting is not appropriate for clusters which use this configuration.;Edit the API server pod specification file `/etc/kubernetes/manifests/kube-apiserver.yaml` on the Control Plane node and set the `--enable-admission-plugins` parameter to include `AlwaysPullImages`.  ``` --enable-admission-plugins=...,AlwaysPullImages,... ```;Run the following command on the Control Plane node:  ``` ps -ef | grep kube-apiserver ```  Verify that the `--enable-admission-plugins` argument is set to a value that includes `AlwaysPullImages`.;;https://kubernetes.io/docs/reference/command-line-tools-reference/kube-apiserver/:https://kubernetes.io/docs/reference/access-authn-authz/admission-controllers/#alwayspullimages;By default, `AlwaysPullImages` is not set.;FAIL;AlwaysPullImages admission control plugin is not set in pod kube-apiserver-meridian-security-control-plane.;3d283d6a-9060-4e19-9088-1e56a7f0c8c5;kube-apiserver-meridian-security-control-plane;apiserver_always_pull_images_plugin;False;CIS;CIS Kubernetes Benchmark v1.11.0
kubernetes;This CIS Kubernetes Benchmark provides prescriptive guidance for establishing a secure configuration posture for Kubernetes v1.28 - v1.31;context: kind-meridian-security;namespace: kube-system;2026-06-05 00:26:21.068559;1.2.1;Ensure that the --anonymous-auth argument is set to false;1 Control Plane Components;1.2 API Server;Level 1;Manual;Disable anonymous requests to the API server.;When enabled, requests that are not rejected by other configured authentication methods are treated as anonymous requests. These requests are then served by the API server. You should rely on authentication to authorize access and disallow anonymous requests.  If you are using RBAC authorization, it is generally considered reasonable to allow anonymous access to the API Server for health checks and discovery purposes, and hence this recommendation is not scored. However, you should consider whether anonymous discovery is an acceptable risk for your purposes.;Anonymous requests will be rejected.;Edit the API server pod specification file `/etc/kubernetes/manifests/kube-apiserver.yaml` on the Control Plane node and set the below parameter.  ``` --anonymous-auth=false ```;Run the following command on the Control Plane node:  ``` ps -ef | grep kube-apiserver ```  Verify that the `--anonymous-auth` argument is set to `false`.  Alternative Audit Method  ``` kubectl get pod -nkube-system -lcomponent=kube-apiserver -o=jsonpath='{range .items[*]}{.spec.containers[*].command} {\}{end}' | grep '--anonymous-auth' | grep -i false ```  If the exit code is '1', then the control isn't present / failed;;https://kubernetes.io/docs/admin/kube-apiserver/:https://kubernetes.io/docs/admin/authentication/#anonymous-requests;By default, anonymous access is enabled.;PASS;API Server does not have anonymous-auth enabled in pod kube-apiserver-meridian-security-control-plane.;3d283d6a-9060-4e19-9088-1e56a7f0c8c5;kube-apiserver-meridian-security-control-plane;apiserver_anonymous_requests;False;CIS;CIS Kubernetes Benchmark v1.11.0
kubernetes;This CIS Kubernetes Benchmark provides prescriptive guidance for establishing a secure configuration posture for Kubernetes v1.28 - v1.31;context: kind-meridian-security;namespace: kube-system;2026-06-05 00:26:21.068559;1.2.17;Ensure that the --audit-log-maxage argument is set to 30 or as appropriate;1 Control Plane Components;1.2 API Server;Level 1;Automated;Retain the logs for at least 30 days or as appropriate.;Retaining logs for at least 30 days ensures that you can go back in time and investigate or correlate any events. Set your audit log retention period to 30 days or as per your business requirements.;None;Edit the API server pod specification file `/etc/kubernetes/manifests/kube-apiserver.yaml` on the Control Plane node and set the `--audit-log-maxage` parameter to 30 or as an appropriate number of days:  ``` --audit-log-maxage=30 ```;Run the following command on the Control Plane node:  ``` ps -ef | grep kube-apiserver ```  Verify that the `--audit-log-maxage` argument is set to `30` or as appropriate.;;https://kubernetes.io/docs/reference/command-line-tools-reference/kube-apiserver/:https://kubernetes.io/docs/tasks/debug/debug-cluster/audit/:https://github.com/kubernetes/enhancements/issues/22;By default, auditing is not enabled.;FAIL;Audit log max age is not set to 30 or as appropriate in pod kube-apiserver-meridian-security-control-plane.;3d283d6a-9060-4e19-9088-1e56a7f0c8c5;kube-apiserver-meridian-security-control-plane;apiserver_audit_log_maxage_set;False;CIS;CIS Kubernetes Benchmark v1.11.0
kubernetes;This CIS Kubernetes Benchmark provides prescriptive guidance for establishing a secure configuration posture for Kubernetes v1.28 - v1.31;context: kind-meridian-security;namespace: kube-system;2026-06-05 00:26:21.068559;1.2.18;Ensure that the --audit-log-maxbackup argument is set to 10 or as appropriate;1 Control Plane Components;1.2 API Server;Level 1;Automated;Retain 10 or an appropriate number of old log files.;Kubernetes automatically rotates the log files. Retaining old log files ensures that you would have sufficient log data available for carrying out any investigation or correlation. For example, if you have set file size of 100 MB and the number of old log files to keep as 10, you would approximate have 1 GB of log data that you could potentially use for your analysis.;None;Edit the API server pod specification file `/etc/kubernetes/manifests/kube-apiserver.yaml` on the Control Plane node and set the `--audit-log-maxbackup` parameter to 10 or to an appropriate value.  ``` --audit-log-maxbackup=10 ```;Run the following command on the Control Plane node:  ``` ps -ef | grep kube-apiserver ```  Verify that the `--audit-log-maxbackup` argument is set to `10` or as appropriate.;;https://kubernetes.io/docs/reference/command-line-tools-reference/kube-apiserver/:https://kubernetes.io/docs/tasks/debug/debug-cluster/audit/:https://github.com/kubernetes/enhancements/issues/22;By default, auditing is not enabled.;FAIL;Audit log max backup is not set to 10 or as appropriate in pod kube-apiserver-meridian-security-control-plane.;3d283d6a-9060-4e19-9088-1e56a7f0c8c5;kube-apiserver-meridian-security-control-plane;apiserver_audit_log_maxbackup_set;False;CIS;CIS Kubernetes Benchmark v1.11.0
kubernetes;This CIS Kubernetes Benchmark provides prescriptive guidance for establishing a secure configuration posture for Kubernetes v1.28 - v1.31;context: kind-meridian-security;namespace: kube-system;2026-06-05 00:26:21.068559;1.2.19;Ensure that the --audit-log-maxsize argument is set to 100 or as appropriate;1 Control Plane Components;1.2 API Server;Level 1;Automated;Rotate log files on reaching 100 MB or as appropriate.;Kubernetes automatically rotates the log files. Retaining old log files ensures that you would have sufficient log data available for carrying out any investigation or correlation. If you have set file size of 100 MB and the number of old log files to keep as 10, you would approximate have 1 GB of log data that you could potentially use for your analysis.;None;Edit the API server pod specification file `/etc/kubernetes/manifests/kube-apiserver.yaml` on the Control Plane node and set the `--audit-log-maxsize` parameter to an appropriate size in MB. For example, to set it as 100 MB:  ``` --audit-log-maxsize=100 ```;Run the following command on the Control Plane node:  ``` ps -ef | grep kube-apiserver ```  Verify that the `--audit-log-maxsize` argument is set to `100` or as appropriate.;;https://kubernetes.io/docs/reference/command-line-tools-reference/kube-apiserver/:https://kubernetes.io/docs/tasks/debug/debug-cluster/audit/:https://github.com/kubernetes/enhancements/issues/22;By default, auditing is not enabled.;FAIL;Audit log max size is not set to 100 MB or as appropriate in pod kube-apiserver-meridian-security-control-plane.;3d283d6a-9060-4e19-9088-1e56a7f0c8c5;kube-apiserver-meridian-security-control-plane;apiserver_audit_log_maxsize_set;False;CIS;CIS Kubernetes Benchmark v1.11.0
kubernetes;This CIS Kubernetes Benchmark provides prescriptive guidance for establishing a secure configuration posture for Kubernetes v1.28 - v1.31;context: kind-meridian-security;namespace: kube-system;2026-06-05 00:26:21.068559;1.2.16;Ensure that the --audit-log-path argument is set;1 Control Plane Components;1.2 API Server;Level 1;Automated;Enable auditing on the Kubernetes API Server and set the desired audit log path.;Auditing the Kubernetes API Server provides a security-relevant chronological set of records documenting the sequence of activities that have affected system by individual users, administrators or other components of the system. Even though currently, Kubernetes provides only basic audit capabilities, it should be enabled. You can enable it by setting an appropriate audit log path.;None;Edit the API server pod specification file `/etc/kubernetes/manifests/kube-apiserver.yaml` on the Control Plane node and set the `--audit-log-path` parameter to a suitable path and file where you would like audit logs to be written, for example:  ``` --audit-log-path=/var/log/apiserver/audit.log ```;Run the following command on the Control Plane node:  ``` ps -ef | grep kube-apiserver ```  Verify that the `--audit-log-path` argument is set as appropriate.;;https://kubernetes.io/docs/reference/command-line-tools-reference/kube-apiserver/:https://kubernetes.io/docs/tasks/debug/debug-cluster/audit/:https://github.com/kubernetes/enhancements/issues/22;By default, auditing is not enabled.;FAIL;Audit log path is not set in pod kube-apiserver-meridian-security-control-plane.;3d283d6a-9060-4e19-9088-1e56a7f0c8c5;kube-apiserver-meridian-security-control-plane;apiserver_audit_log_path_set;False;CIS;CIS Kubernetes Benchmark v1.11.0
kubernetes;This CIS Kubernetes Benchmark provides prescriptive guidance for establishing a secure configuration posture for Kubernetes v1.28 - v1.31;context: kind-meridian-security;namespace: kube-system;2026-06-05 00:26:21.068559;1.2.7;Ensure that the --authorization-mode argument includes Node;1 Control Plane Components;1.2 API Server;Level 1;Automated;Restrict kubelet nodes to reading only objects associated with them.;The `Node` authorization mode only allows kubelets to read `Secret`, `ConfigMap`, `PersistentVolume`, and `PersistentVolumeClaim` objects associated with their nodes.;None;Edit the API server pod specification file `/etc/kubernetes/manifests/kube-apiserver.yaml` on the Control Plane node and set the `--authorization-mode` parameter to a value that includes `Node`.  ``` --authorization-mode=Node,RBAC ```;Run the following command on the Control Plane node:  ``` ps -ef | grep kube-apiserver ```  Verify that the `--authorization-mode` argument exists and is set to a value to include `Node`.;;https://kubernetes.io/docs/admin/kube-apiserver/:https://kubernetes.io/docs/admin/authorization/node/:https://github.com/kubernetes/kubernetes/pull/46076:https://acotten.com/post/kube17-security;By default, `Node` authorization is not enabled.;PASS;API Server authorization mode includes Node in pod kube-apiserver-meridian-security-control-plane.;3d283d6a-9060-4e19-9088-1e56a7f0c8c5;kube-apiserver-meridian-security-control-plane;apiserver_auth_mode_include_node;False;CIS;CIS Kubernetes Benchmark v1.11.0
kubernetes;This CIS Kubernetes Benchmark provides prescriptive guidance for establishing a secure configuration posture for Kubernetes v1.28 - v1.31;context: kind-meridian-security;namespace: kube-system;2026-06-05 00:26:21.068559;1.2.8;Ensure that the --authorization-mode argument includes RBAC;1 Control Plane Components;1.2 API Server;Level 1;Automated;Turn on Role Based Access Control.;Role Based Access Control (RBAC) allows fine-grained control over the operations that different entities can perform on different objects in the cluster. It is recommended to use the RBAC authorization mode.;When RBAC is enabled you will need to ensure that appropriate RBAC settings (including Roles, RoleBindings and ClusterRoleBindings) are configured to allow appropriate access.;Edit the API server pod specification file `/etc/kubernetes/manifests/kube-apiserver.yaml` on the Control Plane node and set the `--authorization-mode` parameter to a value that includes `RBAC`, for example:  ``` --authorization-mode=Node,RBAC ```;Run the following command on the Control Plane node:  ``` ps -ef | grep kube-apiserver ```  Verify that the `--authorization-mode` argument exists and is set to a value to include `RBAC`.;;https://kubernetes.io/docs/reference/access-authn-authz/rbac/;By default, `RBAC` authorization is not enabled.;PASS;API Server authorization mode includes RBAC in pod kube-apiserver-meridian-security-control-plane.;3d283d6a-9060-4e19-9088-1e56a7f0c8c5;kube-apiserver-meridian-security-control-plane;apiserver_auth_mode_include_rbac;False;CIS;CIS Kubernetes Benchmark v1.11.0
kubernetes;This CIS Kubernetes Benchmark provides prescriptive guidance for establishing a secure configuration posture for Kubernetes v1.28 - v1.31;context: kind-meridian-security;namespace: kube-system;2026-06-05 00:26:21.068559;1.2.6;Ensure that the --authorization-mode argument is not set to AlwaysAllow;1 Control Plane Components;1.2 API Server;Level 1;Automated;Do not always authorize all requests.;The API Server, can be configured to allow all requests. This mode should not be used on any production cluster.;Only authorized requests will be served.;Edit the API server pod specification file `/etc/kubernetes/manifests/kube-apiserver.yaml` on the Control Plane node and set the `--authorization-mode` parameter to values other than `AlwaysAllow`. One such example could be as below.  ``` --authorization-mode=RBAC ```;Run the following command on the Control Plane node:  ``` ps -ef | grep kube-apiserver ```  Verify that the `--authorization-mode` argument exists and is not set to `AlwaysAllow`.;;https://kubernetes.io/docs/reference/command-line-tools-reference/kube-apiserver/:https://kubernetes.io/docs/admin/authorization/;By default, `AlwaysAllow` is not enabled.;PASS;API Server authorization mode is not set to AlwaysAllow in pod kube-apiserver-meridian-security-control-plane.;3d283d6a-9060-4e19-9088-1e56a7f0c8c5;kube-apiserver-meridian-security-control-plane;apiserver_auth_mode_not_always_allow;False;CIS;CIS Kubernetes Benchmark v1.11.0
kubernetes;This CIS Kubernetes Benchmark provides prescriptive guidance for establishing a secure configuration posture for Kubernetes v1.28 - v1.31;context: kind-meridian-security;namespace: kube-system;2026-06-05 00:26:21.068559;1.2.25;Ensure that the --client-ca-file argument is set as appropriate;1 Control Plane Components;1.2 API Server;Level 1;Automated;Setup TLS connection on the API server.;API server communication contains sensitive parameters that should remain encrypted in transit. Configure the API server to serve only HTTPS traffic. If `--client-ca-file` argument is set, any request presenting a client certificate signed by one of the authorities in the `client-ca-file` is authenticated with an identity corresponding to the CommonName of the client certificate.;TLS and client certificate authentication must be configured for your Kubernetes cluster deployment.;Follow the Kubernetes documentation and set up the TLS connection on the apiserver. Then, edit the API server pod specification file `/etc/kubernetes/manifests/kube-apiserver.yaml` on the master node and set the client certificate authority file.  ``` --client-ca-file=<path/to/client-ca-file> ```;Run the following command on the Control Plane node:  ``` ps -ef | grep kube-apiserver ```  Verify that the `--client-ca-file` argument exists and it is set as appropriate.;;https://kubernetes.io/docs/reference/command-line-tools-reference/kube-apiserver/:https://github.com/kelseyhightower/docker-kubernetes-tls-guide;By default, `--client-ca-file` argument is not set.;PASS;Client CA file is set appropriately in the API server in pod kube-apiserver-meridian-security-control-plane.;3d283d6a-9060-4e19-9088-1e56a7f0c8c5;kube-apiserver-meridian-security-control-plane;apiserver_client_ca_file_set;False;CIS;CIS Kubernetes Benchmark v1.11.0
