PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_SUBSECTION;REQUIREMENTS_ATTRIBUTES_SUBGROUP;REQUIREMENTS_ATTRIBUTES_SERVICE;REQUIREMENTS_ATTRIBUTES_TYPE;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME;REQUIREMENTS_ATTRIBUTES_COMMENT
kubernetes;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;kind-meridian-security;namespace: kube-system;2026-06-05 00:26:21.068559;10.5.1.4;Checks if a Kubernetes Log retention policy is set to retain logs for more than 365 days or a specified retention period. The rule is NON_COMPLIANT if the retention period is less than MinRetentionTime, if specified, or else 365 days.;10.5.1: Audit log history is retained and available for analysis.;;;API Server;;FAIL;Audit log max age is not set to 30 or as appropriate in pod kube-apiserver-meridian-security-control-plane.;3d283d6a-9060-4e19-9088-1e56a7f0c8c5;apiserver_audit_log_maxage_set;False;kube-apiserver-meridian-security-control-plane;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
kubernetes;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;kind-meridian-security;namespace: kube-system;2026-06-05 00:26:21.068559;3.3.1.3.3;Checks if a Kubernetes Cluster's Log retention policy is set to retain logs for more than 365 days. The policy is NON_COMPLIANT if the retention period is less than MinRetentionTime, if specified, or else 365 days.;3.3.1.3: Sensitive authentication data (SAD) is not stored after authorization.;;;API Server;;FAIL;Audit log max age is not set to 30 or as appropriate in pod kube-apiserver-meridian-security-control-plane.;3d283d6a-9060-4e19-9088-1e56a7f0c8c5;apiserver_audit_log_maxage_set;False;kube-apiserver-meridian-security-control-plane;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
kubernetes;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;kind-meridian-security;namespace: kube-system;2026-06-05 00:26:21.068559;3.3.3.3;Checks if a Kubernetes Cluster's log retention policy for the logging service is set to retain logs for more than 365 days or else a specified retention period. The rule is NON_COMPLIANT if the retention period is less than MinRetentionTime, if specified, or else 365 days.;3.3.3: Sensitive authentication data (SAD) is not stored after authorization.;;;API Server;;FAIL;Audit log max age is not set to 30 or as appropriate in pod kube-apiserver-meridian-security-control-plane.;3d283d6a-9060-4e19-9088-1e56a7f0c8c5;apiserver_audit_log_maxage_set;False;kube-apiserver-meridian-security-control-plane;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
kubernetes;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;kind-meridian-security;namespace: kube-system;2026-06-05 00:26:21.068559;5.3.4.11;Checks if a Kubernetes logging configuration (e.g., Fluentd, Elasticsearch) has a log retention policy set to retain logs for more than 365 days or a specified retention period. The rule is NON_COMPLIANT if the retention period is less than MinRetentionTime, if specified, or else 365 days.;5.3.4: Anti-malware mechanisms and processes are active, maintained, and monitored.;;;API Server;;FAIL;Audit log max age is not set to 30 or as appropriate in pod kube-apiserver-meridian-security-control-plane.;3d283d6a-9060-4e19-9088-1e56a7f0c8c5;apiserver_audit_log_maxage_set;False;kube-apiserver-meridian-security-control-plane;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
kubernetes;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;kind-meridian-security;namespace: kube-system;2026-06-05 00:26:21.068559;10.2.1.1.7;Checks if at least one Kubernetes Audit Policy is logging events for all pods. The rule is NON_COMPLIANT if there are no audit policies or if no policies record pod events.;10.2.1.1: Audit logs are implemented to support the detection of anomalies and suspicious activity, and the forensic analysis of events.;;;API Server;;FAIL;Audit log path is not set in pod kube-apiserver-meridian-security-control-plane.;3d283d6a-9060-4e19-9088-1e56a7f0c8c5;apiserver_audit_log_path_set;False;kube-apiserver-meridian-security-control-plane;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
kubernetes;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;kind-meridian-security;namespace: kube-system;2026-06-05 00:26:21.068559;10.2.1.1.13;Checks if a Kubernetes cluster has audit logging enabled. The rule is NON_COMPLIANT if the Kubernetes cluster does not have audit logging enabled.;10.2.1.1: Audit logs are implemented to support the detection of anomalies and suspicious activity, and the forensic analysis of events.;;;API Server;;FAIL;Audit log path is not set in pod kube-apiserver-meridian-security-control-plane.;3d283d6a-9060-4e19-9088-1e56a7f0c8c5;apiserver_audit_log_path_set;False;kube-apiserver-meridian-security-control-plane;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
kubernetes;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;kind-meridian-security;namespace: kube-system;2026-06-05 00:26:21.068559;10.2.1.1.14;Checks if Kubernetes Cluster has audit logging enabled. The rule is NON_COMPLIANT if 'audit-log.enabled' is set to false.;10.2.1.1: Audit logs are implemented to support the detection of anomalies and suspicious activity, and the forensic analysis of events.;;;API Server;;FAIL;Audit log path is not set in pod kube-apiserver-meridian-security-control-plane.;3d283d6a-9060-4e19-9088-1e56a7f0c8c5;apiserver_audit_log_path_set;False;kube-apiserver-meridian-security-control-plane;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
kubernetes;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;kind-meridian-security;namespace: kube-system;2026-06-05 00:26:21.068559;10.2.1.1.17;Checks if a Kubernetes cluster is configured with logging enabled. The rule is NON_COMPLIANT if logging for Kubernetes clusters is not enabled for all log types such as API server logs, audit logs, and etcd logs.;10.2.1.1: Audit logs are implemented to support the detection of anomalies and suspicious activity, and the forensic analysis of events.;;;API Server;;FAIL;Audit log path is not set in pod kube-apiserver-meridian-security-control-plane.;3d283d6a-9060-4e19-9088-1e56a7f0c8c5;apiserver_audit_log_path_set;False;kube-apiserver-meridian-security-control-plane;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
kubernetes;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;kind-meridian-security;namespace: kube-system;2026-06-05 00:26:21.068559;10.2.1.1.20;Checks if Kubernetes brokers have audit logging enabled. The rule is NON_COMPLIANT if a broker does not have audit logging enabled.;10.2.1.1: Audit logs are implemented to support the detection of anomalies and suspicious activity, and the forensic analysis of events.;;;API Server;;FAIL;Audit log path is not set in pod kube-apiserver-meridian-security-control-plane.;3d283d6a-9060-4e19-9088-1e56a7f0c8c5;apiserver_audit_log_path_set;False;kube-apiserver-meridian-security-control-plane;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
kubernetes;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;kind-meridian-security;namespace: kube-system;2026-06-05 00:26:21.068559;10.2.1.1.21;Checks if a Kubernetes pod has audit logging enabled. The rule is NON_COMPLIANT if the pod does not have audit logging enabled.;10.2.1.1: Audit logs are implemented to support the detection of anomalies and suspicious activity, and the forensic analysis of events.;;;API Server;;FAIL;Audit log path is not set in pod kube-apiserver-meridian-security-control-plane.;3d283d6a-9060-4e19-9088-1e56a7f0c8c5;apiserver_audit_log_path_set;False;kube-apiserver-meridian-security-control-plane;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
kubernetes;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;kind-meridian-security;namespace: kube-system;2026-06-05 00:26:21.068559;10.2.1.1.23;Checks if a Kubernetes cluster has logging enabled for audit logs. The rule is NON_COMPLIANT if the Kubernetes cluster does not have audit logging enabled.;10.2.1.1: Audit logs are implemented to support the detection of anomalies and suspicious activity, and the forensic analysis of events.;;;API Server;;FAIL;Audit log path is not set in pod kube-apiserver-meridian-security-control-plane.;3d283d6a-9060-4e19-9088-1e56a7f0c8c5;apiserver_audit_log_path_set;False;kube-apiserver-meridian-security-control-plane;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
kubernetes;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;kind-meridian-security;namespace: kube-system;2026-06-05 00:26:21.068559;10.2.1.1.27;Checks if Kubernetes clusters are logging audits to a specific logging service. The rule is NON_COMPLIANT if audit logging is not enabled for a Kubernetes cluster or if the 'logDestination' parameter is provided but the audit logging destination does not match.;10.2.1.1: Audit logs are implemented to support the detection of anomalies and suspicious activity, and the forensic analysis of events.;;;API Server;;FAIL;Audit log path is not set in pod kube-apiserver-meridian-security-control-plane.;3d283d6a-9060-4e19-9088-1e56a7f0c8c5;apiserver_audit_log_path_set;False;kube-apiserver-meridian-security-control-plane;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
kubernetes;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;kind-meridian-security;namespace: kube-system;2026-06-05 00:26:21.068559;10.2.1.1.33;Checks if Kubernetes Audit Logging is enabled. The rule is NON_COMPLIANT if an audit logging configuration is not present or the logging level does not meet the minimum required level.;10.2.1.1: Audit logs are implemented to support the detection of anomalies and suspicious activity, and the forensic analysis of events.;;;API Server;;FAIL;Audit log path is not set in pod kube-apiserver-meridian-security-control-plane.;3d283d6a-9060-4e19-9088-1e56a7f0c8c5;apiserver_audit_log_path_set;False;kube-apiserver-meridian-security-control-plane;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
kubernetes;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;kind-meridian-security;namespace: kube-system;2026-06-05 00:26:21.068559;10.2.1.2.4;Checks if a Kubernetes API server has audit logging enabled. The rule is NON_COMPLIANT if audit logging is not enabled, or 'audit-log-path' is not set to a valid file path.;10.2.1.2: Audit logs are implemented to support the detection of anomalies and suspicious activity, and the forensic analysis of events.;;;API Server;;FAIL;Audit log path is not set in pod kube-apiserver-meridian-security-control-plane.;3d283d6a-9060-4e19-9088-1e56a7f0c8c5;apiserver_audit_log_path_set;False;kube-apiserver-meridian-security-control-plane;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
kubernetes;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;kind-meridian-security;namespace: kube-system;2026-06-05 00:26:21.068559;10.2.1.2.7;Checks if at least one Kubernetes Audit Policy is logging API requests for all pods and namespaces. The rule is NON_COMPLIANT if there are no policies or if policies do not record pod and namespace API requests.;10.2.1.2: Audit logs are implemented to support the detection of anomalies and suspicious activity, and the forensic analysis of events.;;;API Server;;FAIL;Audit log path is not set in pod kube-apiserver-meridian-security-control-plane.;3d283d6a-9060-4e19-9088-1e56a7f0c8c5;apiserver_audit_log_path_set;False;kube-apiserver-meridian-security-control-plane;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
